USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
423.00,1.3372,0.9420,0.4544,0.5375,0.6476,0.6728,0.6812,0.6812,0.3700,0.7064,0.8160,0.9084,0.8995,0.5967,0.5716,0.3704,0.7241,0.7404,0.5128,0.5132
424.00,1.3330,0.9409,0.4595,0.5268,0.6462,0.6754,0.6811,0.6787,0.3678,0.7054,0.8191,0.9084,0.8946,0.5918,0.5650,0.3783,0.7379,0.7436,0.5082,0.5139
425.00,1.3310,0.9425,0.4592,0.5298,0.6438,0.6830,0.6830,0.6794,0.3693,0.7108,0.8206,0.9026,0.8948,0.6010,0.5654,0.3807,0.7379,0.7464,0.5104,0.5104
426.00,1.3286,0.9492,0.4594,0.5337,0.6474,0.6854,0.6795,0.6854,0.3760,0.7157,0.8219,0.9037,0.8961,0.6095,0.5716,0.3836,0.7385,0.7477,0.5185,0.5185
427.00,1.3231,0.9479,0.4556,0.5364,0.6468,0.6833,0.6763,0.6835,0.3820,0.7129,0.8157,0.9112,0.8967,0.6027,0.5733,0.3821,0.7421,0.7423,0.5219,0.5219
428.00,1.3287,0.9417,0.4530,0.5334,0.6474,0.6760,0.6831,0.6831,0.3746,0.7097,0.8134,0.9060,0.8989,0.6047,0.5761,0.3798,0.7330,0.7401,0.5243,0.5243
429.00,1.3245,0.9361,0.4542,0.5339,0.6484,0.6761,0.6830,0.6830,0.3744,0.7038,0.8148,0.9014,0.9015,0.6032,0.5755,0.3780,0.7351,0.7385,0.5200,0.5236
430.00,1.3223,0.9322,0.4560,0.5353,0.6502,0.6823,0.6840,0.6840,0.3749,0.7093,0.8174,0.8984,0.9001,0.6080,0.5708,0.3867,0.7380,0.7431,0.5218,0.5235
431.00,1.3234,0.9415,0.4674,0.5333,0.6518,0.6913,0.6847,0.6913,0.3818,0.7176,0.8230,0.9085,0.9085,0.6123,0.5793,0.3885,0.7440,0.7506,0.5267,0.5267
432.00,1.3203,0.9456,0.4615,0.5387,0.6496,0.6882,0.6867,0.6882,0.3842,0.7189,0.8218,0.9085,0.9070,0.6208,0.5788,0.3907,0.7510,0.7510,0.5322,0.5322
433.00,1.3249,0.9474,0.4659,0.5444,0.6548,0.6925,0.6923,0.6986,0.3934,0.7207,0.8245,0.9189,0.9126,0.6230,0.5885,0.3966,0.7552,0.7522,0.5382,0.5382
434.00,1.3272,0.9415,0.4615,0.5462,0.6512,0.6883,0.6900,0.6962,0.3891,0.7192,0.8197,0.9168,0.9151,0.6221,0.5850,0.3891,0.7518,0.7500,0.5401,0.5401
435.00,1.3216,0.9396,0.4607,0.5456,0.6487,0.6851,0.6851,0.6911,0.3821,0.7154,0.8183,0.9095,0.9153,0.6125,0.5820,0.3821,0.7457,0.7457,0.5337,0.5337
436.00,1.3238,0.9406,0.4632,0.5455,0.6554,0.6959,0.6947,0.6959,0.3856,0.7258,0.8213,0.9108,0.9227,0.6231,0.5873,0.3916,0.7556,0.7509,0.5395,0.5395
437.00,1.3274,0.9482,0.4727,0.5491,0.6639,0.7046,0.6960,0.7019,0.3964,0.7340,0.8280,0.9188,0.9306,0.6309,0.5903,0.4022,0.7633,0.7633,0.5460,0.5460
438.00,1.3260,0.9503,0.4702,0.5498,0.6642,0.7065,0.6990,0.7007,0.3989,0.7355,0.8284,0.9296,0.9329,0.6410,0.5946,0.4005,0.7687,0.7646,0.5498,0.5498
439.00,1.3284,0.9505,0.4751,0.5608,0.6643,0.7044,0.6987,0.7042,0.4008,0.7386,0.8302,0.9333,0.9389,0.6414,0.6011,0.4008,0.7674,0.7617,0.5608,0.5553
440.00,1.3284,0.9439,0.4720,0.5558,0.6648,0.7033,0.6988,0.7089,0.3970,0.7329,0.8248,0.9314,0.9439,0.6364,0.6012,0.3982,0.7669,0.7555,0.5558,0.5558
441.00,1.3277,0.9454,0.4727,0.5541,0.6666,0.7057,0.7030,0.7087,0.3965,0.7342,0.8298,0.9311,0.9506,0.6385,0.5991,0.3995,0.7679,0.7593,0.5541,0.5515
442.00,1.3287,0.9470,0.4775,0.5533,0.6691,0.7098,0.7042,0.7098,0.4009,0.7402,0.8353,0.9359,0.9542,0.6452,0.5980,0.4049,0.7738,0.7642,0.5574,0.5558
443.00,1.3267,0.9492,0.4774,0.5550,0.6716,0.7159,0.7049,0.7105,0.3997,0.7438,0.8328,0.9381,0.9547,0.6494,0.5994,0.4053,0.7771,0.7660,0.5606,0.5552
444.00,1.3341,0.9580,0.4811,0.5598,0.6747,0.7189,0.7079,0.7147,0.4092,0.7521,0.8406,0.9469,0.9691,0.6624,0.6096,0.4135,0.7853,0.7743,0.5709,0.5653
445.00,1.3358,0.9560,0.4767,0.5619,0.6721,0.7162,0.7078,0.7188,0.4077,0.7492,0.8374,0.9476,0.9722,0.6556,0.6115,0.4077,0.7823,0.7713,0.5729,0.5674
446.00,1.3350,0.9504,0.4764,0.5643,0.6742,0.7182,0.7087,0.7197,0.4065,0.7471,0.8350,0.9489,0.9764,0.6577,0.6098,0.4065,0.7801,0.7651,0.5713,0.5698
447.00,1.3336,0.9495,0.4775,0.5653,0.6751,0.7190,0.7134,0.7243,0.4061,0.7464,0.8396,0.9548,0.9823,0.6586,0.6092,0.4115,0.7793,0.7682,0.5708,0.5654
448.00,1.3388,0.9547,0.4828,0.5651,0.6816,0.7255,0.7133,0.7242,0.4115,0.7529,0.8450,0.9560,0.9889,0.6652,0.6103,0.4128,0.7901,0.7749,0.5761,0.5706
449.00,1.3366,0.9577,0.4830,0.5653,0.6834,0.7300,0.7135,0.7245,0.4116,0.7601,0.8452,0.9631,0.9961,0.6723,0.6147,0.4171,0.7904,0.7794,0.5763,0.5708
