USPM-SA v1.00 DATAFILE 380-1050
wavelength,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20
458.00,0.2676,0.7163,0.3815,0.3884,0.5311,0.2662,0.3760,0.1688,0.3060,0.2882,0.3266,0.4323,0.4268,0.4268,0.3321,0.3046,0.5585,0.2401,0.2237,0.4048
459.00,0.2735,0.7221,0.3829,0.3884,0.5361,0.2626,0.3829,0.1696,0.3063,0.2954,0.3282,0.4376,0.4267,0.4212,0.3337,0.3063,0.5689,0.2407,0.2243,0.4048
460.00,0.2731,0.7292,0.3892,0.3892,0.5380,0.2636,0.3783,0.1707,0.3018,0.2963,0.3277,0.4397,0.4220,0.4274,0.3346,0.3073,0.5763,0.2417,0.2267,0.4069
461.00,0.2717,0.7389,0.3939,0.3939,0.5460,0.2662,0.3831,0.1711,0.3043,0.3016,0.3287,0.4483,0.4238,0.4292,0.3368,0.3124,0.5841,0.2472,0.2309,0.4129
462.00,0.2666,0.7459,0.3912,0.3994,0.5510,0.2653,0.3803,0.1719,0.3032,0.2991,0.3262,0.4494,0.4223,0.4278,0.3357,0.3100,0.5848,0.2491,0.2233,0.4115
463.00,0.2634,0.7473,0.3871,0.3979,0.5538,0.2688,0.3817,0.1720,0.3064,0.3011,0.3226,0.4462,0.4193,0.4193,0.3280,0.3064,0.5806,0.2419,0.2204,0.4032
464.00,0.2593,0.7470,0.3929,0.4008,0.5639,0.2672,0.3808,0.1710,0.3007,0.3021,0.3234,0.4464,0.4169,0.4169,0.3327,0.3060,0.5853,0.2365,0.2205,0.4022
465.00,0.2674,0.7571,0.3997,0.4024,0.5691,0.2674,0.3838,0.1721,0.3017,0.3124,0.3282,0.4554,0.4156,0.4183,0.3362,0.3124,0.5930,0.2382,0.2250,0.4050
466.00,0.2712,0.7704,0.4062,0.4074,0.5738,0.2712,0.3904,0.1769,0.3026,0.3223,0.3328,0.4638,0.4179,0.4231,0.3433,0.3183,0.6040,0.2438,0.2333,0.4114
467.00,0.2649,0.7742,0.4053,0.4053,0.5819,0.2650,0.3845,0.1715,0.2963,0.3118,0.3273,0.4625,0.4105,0.4209,0.3326,0.3169,0.6079,0.2442,0.2286,0.4105
468.00,0.2627,0.7829,0.4061,0.4126,0.5845,0.2692,0.3870,0.1769,0.3037,0.3190,0.3255,0.4690,0.4178,0.4215,0.3395,0.3139,0.6087,0.2435,0.2268,0.4099
469.00,0.2604,0.7839,0.4046,0.4174,0.5944,0.2705,0.3894,0.1795,0.3035,0.3186,0.3261,0.4677,0.4172,0.4172,0.3389,0.3136,0.6146,0.2452,0.2250,0.4046
470.00,0.2616,0.7834,0.4099,0.4172,0.5953,0.2716,0.3873,0.1781,0.2988,0.3176,0.3264,0.4658,0.4122,0.4122,0.3375,0.3126,0.6114,0.2390,0.2229,0.4022
471.00,0.2603,0.7910,0.4175,0.4175,0.6042,0.2701,0.3929,0.1769,0.2996,0.3244,0.3291,0.4717,0.4126,0.4126,0.3438,0.3145,0.6238,0.2359,0.2260,0.4029
472.00,0.2605,0.8014,0.4176,0.4176,0.6071,0.2667,0.3934,0.1785,0.3005,0.3329,0.3281,0.4803,0.4101,0.4127,0.3426,0.3198,0.6277,0.2426,0.2281,0.4066
473.00,0.2583,0.8080,0.4193,0.4218,0.6138,0.2678,0.3957,0.1802,0.3009,0.3318,0.3271,0.4834,0.4076,0.4171,0.3413,0.3199,0.6350,0.2441,0.2299,0.4076
474.00,0.2588,0.8126,0.4238,0.4321,0.6224,0.2753,0.3970,0.1846,0.3042,0.3367,0.3285,0.4852,0.4110,0.4166,0.3424,0.3192,0.6373,0.2449,0.2310,0.4073
475.00,0.2503,0.8143,0.4187,0.4276,0.6234,0.2685,0.3914,0.1776,0.2958,0.3277,0.3230,0.4823,0.4049,0.4049,0.3367,0.3140,0.6369,0.2365,0.2185,0.3958
476.00,0.2553,0.8193,0.4259,0.4291,0.6309,0.2731,0.3991,0.1827,0.2973,0.3367,0.3266,0.4870,0.4055,0.4055,0.3400,0.3177,0.6410,0.2375,0.2241,0.3979
477.00,0.2555,0.8236,0.4304,0.4281,0.6336,0.2730,0.4019,0.1813,0.2928,0.3431,0.3277,0.4895,0.4019,0.4042,0.3431,0.3213,0.6490,0.2381,0.2273,0.3999
478.00,0.2590,0.8367,0.4376,0.4333,0.6419,0.2727,0.4043,0.1863,0.2974,0.3487,0.3316,0.5008,0.4043,0.4120,0.3454,0.3274,0.6590,0.2452,0.2333,0.4077
479.00,0.2563,0.8446,0.4370,0.4371,0.6514,0.2732,0.4034,0.1851,0.2942,0.3488,0.3278,0.5001,0.4032,0.4076,0.3446,0.3277,0.6598,0.2438,0.2311,0.4074
480.00,0.2552,0.8473,0.4386,0.4427,0.6579,0.2769,0.4045,0.1893,0.2963,0.3510,0.3293,0.5033,0.4016,0.4074,0.3457,0.3263,0.6650,0.2469,0.2305,0.4045
481.00,0.2550,0.8496,0.4431,0.4450,0.6636,0.2793,0.4068,0.1903,0.2954,0.3542,0.3300,0.5038,0.4046,0.4046,0.3439,0.3278,0.6677,0.2447,0.2286,0.4024
