Data Generated by    ,Optosky
Save time:,2025/4/16 15:21:15
Material:, 
Integrate time:,12
Driver current:,700mA
Filter level:,NONE
Accumulate:,1
X Axis Unit:,WaveLength
position,value
380.723,7.00
381.123,0.00
381.523,-3.00
381.923,-3.00
382.323,1.00
382.723,-1.00
383.123,8.00
383.523,13.00
383.923,20.00
384.323,21.00
384.723,23.00
385.124,25.00
385.524,18.00
385.924,27.00
386.324,28.00
386.724,20.00
387.125,18.00
387.525,24.00
387.925,23.00
388.325,19.00
388.726,11.00
389.126,8.00
389.527,14.00
389.927,20.00
390.327,10.00
390.728,4.00
391.128,6.00
391.529,6.00
391.929,-6.00
392.330,-2.00
392.731,0.00
393.131,0.00
393.532,-1.00
393.933,7.00
394.333,2.00
394.734,9.00
395.135,17.00
395.535,20.00
395.936,23.00
396.337,23.00
396.738,16.00
397.139,13.00
397.540,31.00
397.941,27.00
398.341,31.00
398.742,30.00
399.143,29.00
399.544,26.00
399.945,27.00
400.346,22.00
400.748,19.00
401.149,16.00
401.550,8.00
401.951,-3.00
402.352,-11.00
402.753,2.00
403.154,-1.00
403.556,4.00
403.957,13.00
404.358,18.00
404.760,15.00
405.161,16.00
405.562,25.00
405.964,24.00
406.365,23.00
406.766,27.00
407.168,21.00
407.569,20.00
407.971,18.00
408.372,18.00
408.774,23.00
409.176,30.00
409.577,20.00
409.979,14.00
410.380,10.00
410.782,11.00
411.184,4.00
411.586,0.00
411.987,0.00
412.389,10.00
412.791,5.00
413.193,17.00
413.594,12.00
413.996,14.00
414.398,38.00
414.800,37.00
415.202,28.00
415.604,27.00
416.006,23.00
416.408,17.00
416.810,19.00
417.212,20.00
417.614,29.00
418.016,35.00
418.418,35.00
418.820,31.00
419.223,18.00
419.625,16.00
420.027,17.00
420.429,16.00
420.831,7.00
421.234,-1.00
421.636,4.00
422.038,8.00
422.441,10.00
422.843,9.00
423.245,9.00
423.648,11.00
424.050,25.00
424.453,29.00
424.855,34.00
425.258,31.00
425.660,38.00
426.063,32.00
426.465,26.00
426.868,29.00
427.271,32.00
427.673,37.00
428.076,34.00
428.479,32.00
428.881,35.00
429.284,20.00
429.687,20.00
430.090,19.00
430.492,18.00
430.895,17.00
431.298,27.00
431.701,19.00
432.104,17.00
432.507,13.00
432.910,22.00
433.313,24.00
433.716,15.00
434.119,22.00
434.522,27.00
434.925,32.00
435.328,29.00
435.731,25.00
436.134,26.00
436.537,30.00
436.941,33.00
437.344,31.00
437.747,27.00
438.150,27.00
438.553,27.00
438.957,30.00
439.360,25.00
439.763,17.00
440.167,19.00
440.570,21.00
440.974,10.00
441.377,3.00
441.780,1.00
442.184,10.00
442.587,19.00
442.991,19.00
443.394,12.00
443.798,19.00
444.202,29.00
444.605,26.00
445.009,23.00
445.412,26.00
445.816,31.00
446.220,37.00
446.624,32.00
447.027,25.00
447.431,32.00
447.835,41.00
448.239,42.00
448.642,39.00
449.046,38.00
449.450,30.00
449.854,25.00
450.258,31.00
450.662,29.00
451.066,36.00
451.470,40.00
451.874,34.00
452.278,16.00
452.682,9.00
453.086,23.00
453.490,22.00
453.894,21.00
454.298,28.00
454.703,27.00
455.107,37.00
455.511,38.00
455.915,39.00
456.319,29.00
456.724,37.00
457.128,33.00
457.532,29.00
457.937,32.00
458.341,38.00
458.745,38.00
459.150,36.00
459.554,36.00
459.959,21.00
460.363,20.00
460.768,26.00
461.172,13.00
461.577,7.00
461.981,15.00
462.386,27.00
462.790,29.00
463.195,41.00
463.600,42.00
464.004,44.00
464.409,44.00
464.814,51.00
465.219,50.00
465.623,50.00
466.028,33.00
466.433,36.00
466.838,38.00
467.242,38.00
467.647,36.00
468.052,40.00
468.457,37.00
468.862,39.00
469.267,38.00
469.672,31.00
470.077,36.00
470.482,28.00
470.887,25.00
471.292,30.00
471.697,25.00
472.102,32.00
472.507,28.00
472.913,34.00
473.318,36.00
473.723,28.00
474.128,29.00
474.533,45.00
474.939,55.00
475.344,57.00
475.749,59.00
476.155,51.00
476.560,44.00
476.965,50.00
477.371,48.00
477.776,41.00
478.181,42.00
478.587,40.00
478.992,59.00
479.398,54.00
479.803,52.00
480.209,45.00
480.614,36.00
481.020,33.00
481.426,33.00
481.831,30.00
482.237,18.00
482.643,38.00
483.048,38.00
483.454,40.00
